"date_id";"date";"timestamp";"weekend";"day_of_week";"month";"month_day";"year";"week_starting_monday"
0;"2010-01-01";1262284200;"Weekday";"Friday";"January";1;2010;"53"
1;"2010-01-02";1262370600;"Weekend";"Saturday";"January";2;2010;"53"
2;"2010-01-03";1262457000;"Weekend";"Sunday";"January";3;2010;"53"
3;"2010-01-04";1262543400;"Weekday";"Monday";"January";4;2010;"01"
4;"2010-01-05";1262629800;"Weekday";"Tuesday";"January";5;2010;"01"
5;"2010-01-06";1262716200;"Weekday";"Wednesday";"January";6;2010;"01"
6;"2010-01-07";1262802600;"Weekday";"Thursday";"January";7;2010;"01"
7;"2010-01-08";1262889000;"Weekday";"Friday";"January";8;2010;"01"
8;"2010-01-09";1262975400;"Weekend";"Saturday";"January";9;2010;"01"
9;"2010-01-10";1263061800;"Weekend";"Sunday";"January";10;2010;"01"
10;"2010-01-11";1263148200;"Weekday";"Monday";"January";11;2010;"02"
11;"2010-01-12";1263234600;"Weekday";"Tuesday";"January";12;2010;"02"
12;"2010-01-13";1263321000;"Weekday";"Wednesday";"January";13;2010;"02"
13;"2010-01-14";1263407400;"Weekday";"Thursday";"January";14;2010;"02"
14;"2010-01-15";1263493800;"Weekday";"Friday";"January";15;2010;"02"
15;"2010-01-16";1263580200;"Weekend";"Saturday";"January";16;2010;"02"
16;"2010-01-17";1263666600;"Weekend";"Sunday";"January";17;2010;"02"
17;"2010-01-18";1263753000;"Weekday";"Monday";"January";18;2010;"03"
18;"2010-01-19";1263839400;"Weekday";"Tuesday";"January";19;2010;"03"
19;"2010-01-20";1263925800;"Weekday";"Wednesday";"January";20;2010;"03"
20;"2010-01-21";1264012200;"Weekday";"Thursday";"January";21;2010;"03"
21;"2010-01-22";1264098600;"Weekday";"Friday";"January";22;2010;"03"
22;"2010-01-23";1264185000;"Weekend";"Saturday";"January";23;2010;"03"
23;"2010-01-24";1264271400;"Weekend";"Sunday";"January";24;2010;"03"
24;"2010-01-25";1264357800;"Weekday";"Monday";"January";25;2010;"04"
25;"2010-01-26";1264444200;"Weekday";"Tuesday";"January";26;2010;"04"
26;"2010-01-27";1264530600;"Weekday";"Wednesday";"January";27;2010;"04"
27;"2010-01-28";1264617000;"Weekday";"Thursday";"January";28;2010;"04"
28;"2010-01-29";1264703400;"Weekday";"Friday";"January";29;2010;"04"
29;"2010-01-30";1264789800;"Weekend";"Saturday";"January";30;2010;"04"
30;"2010-01-31";1264876200;"Weekend";"Sunday";"January";31;2010;"04"
31;"2010-02-01";1264962600;"Weekday";"Monday";"February";1;2010;"05"
32;"2010-02-02";1265049000;"Weekday";"Tuesday";"February";2;2010;"05"
33;"2010-02-03";1265135400;"Weekday";"Wednesday";"February";3;2010;"05"
34;"2010-02-04";1265221800;"Weekday";"Thursday";"February";4;2010;"05"
35;"2010-02-05";1265308200;"Weekday";"Friday";"February";5;2010;"05"
36;"2010-02-06";1265394600;"Weekend";"Saturday";"February";6;2010;"05"
37;"2010-02-07";1265481000;"Weekend";"Sunday";"February";7;2010;"05"
38;"2010-02-08";1265567400;"Weekday";"Monday";"February";8;2010;"06"
39;"2010-02-09";1265653800;"Weekday";"Tuesday";"February";9;2010;"06"
40;"2010-02-10";1265740200;"Weekday";"Wednesday";"February";10;2010;"06"
41;"2010-02-11";1265826600;"Weekday";"Thursday";"February";11;2010;"06"
42;"2010-02-12";1265913000;"Weekday";"Friday";"February";12;2010;"06"
43;"2010-02-13";1265999400;"Weekend";"Saturday";"February";13;2010;"06"
44;"2010-02-14";1266085800;"Weekend";"Sunday";"February";14;2010;"06"
45;"2010-02-15";1266172200;"Weekday";"Monday";"February";15;2010;"07"
46;"2010-02-16";1266258600;"Weekday";"Tuesday";"February";16;2010;"07"
47;"2010-02-17";1266345000;"Weekday";"Wednesday";"February";17;2010;"07"
48;"2010-02-18";1266431400;"Weekday";"Thursday";"February";18;2010;"07"
49;"2010-02-19";1266517800;"Weekday";"Friday";"February";19;2010;"07"
50;"2010-02-20";1266604200;"Weekend";"Saturday";"February";20;2010;"07"
51;"2010-02-21";1266690600;"Weekend";"Sunday";"February";21;2010;"07"
52;"2010-02-22";1266777000;"Weekday";"Monday";"February";22;2010;"08"
53;"2010-02-23";1266863400;"Weekday";"Tuesday";"February";23;2010;"08"
54;"2010-02-24";1266949800;"Weekday";"Wednesday";"February";24;2010;"08"
55;"2010-02-25";1267036200;"Weekday";"Thursday";"February";25;2010;"08"
56;"2010-02-26";1267122600;"Weekday";"Friday";"February";26;2010;"08"
57;"2010-02-27";1267209000;"Weekend";"Saturday";"February";27;2010;"08"
58;"2010-02-28";1267295400;"Weekend";"Sunday";"February";28;2010;"08"
59;"2010-03-01";1267381800;"Weekday";"Monday";"March";1;2010;"09"
60;"2010-03-02";1267468200;"Weekday";"Tuesday";"March";2;2010;"09"
61;"2010-03-03";1267554600;"Weekday";"Wednesday";"March";3;2010;"09"
62;"2010-03-04";1267641000;"Weekday";"Thursday";"March";4;2010;"09"
63;"2010-03-05";1267727400;"Weekday";"Friday";"March";5;2010;"09"
